ID,RevolvingUtilizationOfUnsecuredLines,NumberOfTime30-59DaysPastDueNotWorse,DebtRatio,MonthlyIncome,Creditability,Predicted,Confidence,Level,Confidence_Score
1,100.00%,0,55.10%,5100,High Risk,Low Risk,0.56,1,2
2,2.20%,1,42.00%,5500,High Risk,Low Risk,0.59,1,2
3,83.60%,0,83.00%,6300,High Risk,High Risk,0.55,1,2
4,2.30%,0,83.80%,9400,Low Risk,High Risk,0.56,1,2
5,8.90%,1,29.00%,4391,Low Risk,Low Risk,0.58,1,2
6,57.10%,0,35.40%,1957,High Risk,High Risk,0.55,1,2
7,53.20%,0,24.90%,1232,High Risk,Low Risk,0.54,1,1
8,11.90%,0,3.30%,5900,Low Risk,Low Risk,0.56,1,2
9,31.30%,1,28.00%,1066,Low Risk,Low Risk,0.5,1,1
10,93.20%,0,19.00%,3280,Low Risk,High Risk,0.59,1,2
11,3.80%,2,21.40%,8727,Low Risk,High Risk,0.56,1,2
12,45.20%,0,40.10%,16933,Low Risk,High Risk,0.51,1,1
13,93.00%,0,20.50%,9657,High Risk,Low Risk,0.51,1,1
14,11.00%,1,39.50%,6843,Low Risk,High Risk,0.59,1,2
15,93.90%,0,21.70%,3883,High Risk,Low Risk,0.51,1,1
16,51.40%,0,53.90%,20000,High Risk,Low Risk,0.53,1,1
17,55.80%,0,7.70%,5412,High Risk,High Risk,0.58,1,2
18,100.00%,0,39.80%,8000,Low Risk,Low Risk,0.54,1,1
19,31.20%,1,12.70%,1266,Low Risk,Low Risk,0.5,1,1
20,29.00%,0,54.30%,7083,Low Risk,Low Risk,0.58,1,2
21,42.10%,1,15.30%,3667,High Risk,High Risk,0.51,1,1
22,100.00%,2,169.00%,3000,High Risk,Low Risk,0.5,1,1
23,40.50%,0,89.60%,3803,Low Risk,Low Risk,0.51,1,1
24,89.90%,0,18.10%,4788,High Risk,Low Risk,0.51,1,1
25,30.60%,1,50.40%,6000,Low Risk,High Risk,0.59,1,2
26,11.20%,0,59.40%,9116,Low Risk,Low Risk,0.58,1,2
27,88.70%,0,9.40%,4833,Low Risk,Low Risk,0.57,1,2
28,35.90%,0,92.30%,2330,High Risk,High Risk,0.59,1,2
29,0.10%,1,68.60%,15000,Low Risk,Low Risk,0.55,1,2
30,9.00%,0,33.00%,12170,Low Risk,Low Risk,0.57,1,2
31,14.20%,2,42.90%,5083,High Risk,High Risk,0.59,1,2
32,72.00%,0,29.90%,4000,Low Risk,Low Risk,0.55,1,2
33,64.90%,0,40.30%,4620,High Risk,High Risk,0.53,1,1
34,66.80%,1,52.00%,20833,High Risk,Low Risk,0.56,1,2
35,92.30%,0,27.80%,2700,High Risk,Low Risk,0.55,1,2
36,23.50%,2,22.50%,10000,High Risk,High Risk,0.52,1,1
37,3.30%,1,26.30%,7500,High Risk,Low Risk,0.5,1,1
38,64.80%,0,27.10%,12100,High Risk,Low Risk,0.54,1,1
39,100.00%,0,12.00%,1992,High Risk,Low Risk,0.51,1,1
40,92.10%,0,42.90%,7500,Low Risk,High Risk,0.53,1,1
41,68.70%,0,87.50%,6303,High Risk,Low Risk,0.56,1,2
42,98.50%,0,40.80%,2083,High Risk,High Risk,0.53,1,1
43,100.00%,0,48.70%,2250,High Risk,High Risk,0.57,1,2
44,90.00%,0,79.00%,9000,High Risk,Low Risk,0.54,1,1
45,68.30%,2,49.40%,14561,High Risk,High Risk,0.55,1,2
46,0.80%,1,10.30%,3071,High Risk,High Risk,0.58,1,2
47,40.20%,3,65.50%,6500,High Risk,High Risk,0.58,1,2
48,77.00%,1,53.50%,6750,High Risk,Low Risk,0.5,1,1
